body,stars,user_id,dish_id,created_at,helpful,not_helpful
Qui aut et soluta ut et ab dolor. Non aspernatur dicta aut blanditiis eos eligendi consequatur in. Inventore recusandae eaque et consequatur. Explicabo est vero recusandae. Nihil nihil voluptas in dolores sint vitae.,3,15,6,Thu Aug 25 2016 03:39:16 GMT-0700 (Pacific Daylight Time),18,5
Pariatur perspiciatis vitae tempora iste unde sint iusto nobis maxime. Incidunt voluptatibus vitae dolores explicabo laudantium est voluptatibus quisquam nihil. Aut non dolorem eum velit dolor qui quia nulla natus. Nulla aut pariatur molestias laborum eum molestiae eius veniam. Veniam fuga et voluptates sunt delectus labore dolorem dolorum quia.,3,21,6,Mon Feb 18 2019 12:41:27 GMT-0800 (Pacific Standard Time),11,5
Consequatur modi tempore iusto ratione sed qui. Voluptatum illo cumque ut fugiat sint. Sunt dignissimos saepe nulla. Sunt sit natus maxime nostrum eos sequi et. Necessitatibus eaque id eveniet enim blanditiis iste.,1,18,9,Sun Mar 18 2018 22:06:04 GMT-0700 (Pacific Daylight Time),3,6
Fuga qui inventore et fugiat iure rerum molestiae dolorem et. Nesciunt consequatur et laudantium nulla. Pariatur ut voluptatem vitae. Ut ex doloremque soluta quo ut nihil omnis quia soluta.,5,12,1,Sun Apr 07 2013 23:26:59 GMT-0700 (Pacific Daylight Time),9,5
Quia suscipit officiis reprehenderit laudantium dolor omnis qui ipsa officia. Officiis perspiciatis dolorum nihil pariatur alias praesentium. Aliquam ab veniam vero ea ipsum non cumque.,5,44,9,Thu Jul 22 2010 08:51:21 GMT-0700 (Pacific Daylight Time),3,5
Et nisi aliquam doloremque eligendi at amet expedita id labore. Officia modi sint et pariatur dignissimos quis. Odit repudiandae sunt culpa quasi enim excepturi praesentium soluta.,4,16,2,Thu Jul 08 2004 16:16:15 GMT-0700 (Pacific Daylight Time),7,3
Dolores facilis nostrum doloremque sapiente sequi. Neque beatae aliquid quod non velit quam id veritatis est. Perferendis accusantium vitae qui commodi quia assumenda. Consectetur laboriosam eius reprehenderit illum corporis. Eveniet aut nihil ipsam vel vitae provident.,3,21,5,Sat Jan 10 2009 12:29:56 GMT-0800 (Pacific Standard Time),7,5
Placeat doloremque quam ex dolorum dignissimos corrupti ab. Labore qui in itaque porro voluptatibus fugit. Velit quo et ut. Vitae earum et. Est rerum assumenda consequatur eligendi libero esse. Consectetur debitis quaerat molestiae sit omnis.,4,23,5,Sun Oct 02 2011 17:04:18 GMT-0700 (Pacific Daylight Time),10,7
Vel fugit velit deserunt cumque culpa. Voluptatem iure sed et eum quis in dolorum et cupiditate. Provident et iste quia voluptates aut atque recusandae minima. Quae fuga inventore ut perspiciatis voluptas vel temporibus. Ut dicta asperiores libero quis aut. Autem ut accusantium dolores ratione ipsum magni corrupti cum.,4,50,7,Mon Jan 14 2002 04:51:02 GMT-0800 (Pacific Standard Time),15,1
Ipsa ut exercitationem ipsum sed aspernatur nisi molestiae iste. Officiis deserunt vel natus ea facere distinctio natus sequi vitae. Ea totam sunt molestiae eum magnam quia.,4,49,10,Tue May 10 2005 01:58:10 GMT-0700 (Pacific Daylight Time),7,2
Dolor aliquid magni quis inventore perferendis culpa iure qui porro. Exercitationem tempora qui ad sit dolorem. Ut eos aut. Corporis quos autem facere reprehenderit et deleniti cum accusamus. Fugiat laboriosam et provident placeat facilis qui occaecati.,2,23,8,Thu May 19 2005 20:05:40 GMT-0700 (Pacific Daylight Time),10,3
